case_index,contribution_type,source,herb_id,adr_id,original_score,feature,node_type,node_id,path_index,path_text,path_features,masked_score,score_drop
9,node,pu_xmsat_global_unobserved_pairs,618,4997,0.9979984164237976,target:5720,target,5720,,,,0.9979978203773499,5.96e-07
9,node,pu_xmsat_global_unobserved_pairs,618,4997,0.9979984164237976,target:974,target,974,,,,0.997998058795929,3.576e-07
9,node,pu_xmsat_global_unobserved_pairs,618,4997,0.9979984164237976,target:2197,target,2197,,,,0.9979981780052185,2.384e-07
9,node,pu_xmsat_global_unobserved_pairs,618,4997,0.9979984164237976,compound:435,compound,435,,,,0.9979982972145081,1.192e-07
9,node,pu_xmsat_global_unobserved_pairs,618,4997,0.9979984164237976,target:17098,target,17098,,,,0.9979982972145081,1.192e-07
9,node,pu_xmsat_global_unobserved_pairs,618,4997,0.9979984164237976,compound:278,compound,278,,,,0.9979985356330872,-1.192e-07
9,node,pu_xmsat_global_unobserved_pairs,618,4997,0.9979984164237976,compound:876,compound,876,,,,0.9979985356330872,-1.192e-07
9,node,pu_xmsat_global_unobserved_pairs,618,4997,0.9979984164237976,target:4,target,4,,,,0.9979985356330872,-1.192e-07
9,node,pu_xmsat_global_unobserved_pairs,618,4997,0.9979984164237976,compound:613,compound,613,,,,0.9980008006095886,-2.3842e-06
9,node,pu_xmsat_global_unobserved_pairs,618,4997,0.9979984164237976,compound:443,compound,443,,,,0.9980321526527405,-3.37362e-05
9,path,pu_xmsat_global_unobserved_pairs,618,4997,0.9979984164237976,path:2,,,2,成分介导：地钱（Marchantia polymorpha） → Compound #480 → Target #2586 ← Jaundice,compound:480;target:2586,0.9979648590087891,3.35574e-05
9,path,pu_xmsat_global_unobserved_pairs,618,4997,0.9979984164237976,path:1,,,1,成分介导：地钱（Marchantia polymorpha） → Compound #480 → Target #17098 ← Jaundice,compound:480;target:17098,0.9979654550552368,3.29614e-05
9,path,pu_xmsat_global_unobserved_pairs,618,4997,0.9979984164237976,path:5,,,5,成分介导：地钱（Marchantia polymorpha） → Compound #435 → Target #974 ← Jaundice,compound:435;target:974,0.9979978203773499,5.96e-07
9,path,pu_xmsat_global_unobserved_pairs,618,4997,0.9979984164237976,path:4,,,4,成分介导：地钱（Marchantia polymorpha） → Compound #876 → Target #5720 ← Jaundice,compound:876;target:5720,0.9979979395866394,4.768e-07
9,path,pu_xmsat_global_unobserved_pairs,618,4997,0.9979984164237976,path:6,,,6,成分介导：地钱（Marchantia polymorpha） → Compound #278 → Target #4 ← Jaundice,compound:278;target:4,0.9979986548423767,-2.384e-07
9,path,pu_xmsat_global_unobserved_pairs,618,4997,0.9979984164237976,path:3,,,3,成分介导：地钱（Marchantia polymorpha） → Compound #613 → Target #17098 ← Jaundice,compound:613;target:17098,0.9980005621910095,-2.1458e-06
9,path,pu_xmsat_global_unobserved_pairs,618,4997,0.9979984164237976,path:8,,,8,成分介导：地钱（Marchantia polymorpha） → Compound #443 → Target #2197 ← Jaundice,compound:443;target:2197,0.9980317950248718,-3.33786e-05
9,path,pu_xmsat_global_unobserved_pairs,618,4997,0.9979984164237976,path:7,,,7,成分介导：地钱（Marchantia polymorpha） → Compound #443 → Target #4 ← Jaundice,compound:443;target:4,0.99803227186203,-3.38554e-05
10,node,pu_xmsat_global_unobserved_pairs,618,3989,0.997912585735321,compound:480,compound,480,,,,0.997880220413208,3.23653e-05
10,node,pu_xmsat_global_unobserved_pairs,618,3989,0.997912585735321,target:1933,target,1933,,,,0.997907280921936,5.3048e-06
10,node,pu_xmsat_global_unobserved_pairs,618,3989,0.997912585735321,target:1774,target,1774,,,,0.9979074001312256,5.1856e-06
10,node,pu_xmsat_global_unobserved_pairs,618,3989,0.997912585735321,compound:1243,compound,1243,,,,0.9979111552238464,1.4305e-06
10,node,pu_xmsat_global_unobserved_pairs,618,3989,0.997912585735321,target:7938,target,7938,,,,0.997911274433136,1.3113e-06
10,node,pu_xmsat_global_unobserved_pairs,618,3989,0.997912585735321,compound:1257,compound,1257,,,,0.9979122281074524,3.576e-07
10,node,pu_xmsat_global_unobserved_pairs,618,3989,0.997912585735321,compound:876,compound,876,,,,0.997912585735321,0.0
10,node,pu_xmsat_global_unobserved_pairs,618,3989,0.997912585735321,compound:613,compound,613,,,,0.9979149699211121,-2.3842e-06
10,path,pu_xmsat_global_unobserved_pairs,618,3989,0.997912585735321,path:2,,,2,成分介导：地钱（Marchantia polymorpha） → Compound #480 → Target #1933 ← Altered state of consciousness,compound:480;target:1933,0.9978747367858887,3.78489e-05
10,path,pu_xmsat_global_unobserved_pairs,618,3989,0.997912585735321,path:1,,,1,成分介导：地钱（Marchantia polymorpha） → Compound #480 → Target #7938 ← Altered state of consciousness,compound:480;target:7938,0.997878909111023,3.36766e-05
10,path,pu_xmsat_global_unobserved_pairs,618,3989,0.997912585735321,path:8,,,8,成分介导：地钱（Marchantia polymorpha） → Compound #1243 → Target #1933 ← Altered state of consciousness,compound:1243;target:1933,0.9979058504104614,6.7353e-06
10,path,pu_xmsat_global_unobserved_pairs,618,3989,0.997912585735321,path:5,,,5,成分介导：地钱（Marchantia polymorpha） → Compound #1257 → Target #1933 ← Altered state of consciousness,compound:1257;target:1933,0.9979069232940674,5.6624e-06
10,path,pu_xmsat_global_unobserved_pairs,618,3989,0.997912585735321,path:7,,,7,成分介导：地钱（Marchantia polymorpha） → Compound #876 → Target #1933 ← Altered state of consciousness,compound:876;target:1933,0.997907280921936,5.3048e-06
10,path,pu_xmsat_global_unobserved_pairs,618,3989,0.997912585735321,path:3,,,3,成分介导：地钱（Marchantia polymorpha） → Compound #613 → Target #1933 ← Altered state of consciousness,compound:613;target:1933,0.9979096055030823,2.9802e-06
10,path,pu_xmsat_global_unobserved_pairs,618,3989,0.997912585735321,path:4,,,4,成分介导：地钱（Marchantia polymorpha） → Compound #613 → Target #1774 ← Altered state of consciousness,compound:613;target:1774,0.9979096055030823,2.9802e-06
10,path,pu_xmsat_global_unobserved_pairs,618,3989,0.997912585735321,path:6,,,6,成分介导：地钱（Marchantia polymorpha） → Compound #876 → Target #7938 ← Altered state of consciousness,compound:876;target:7938,0.9979113936424255,1.1921e-06
11,node,pu_xmsat_global_unobserved_pairs,237,2540,0.9977682828903198,compound:745,compound,745,,,,0.9977635145187378,4.7684e-06
11,node,pu_xmsat_global_unobserved_pairs,237,2540,0.9977682828903198,compound:1023,compound,1023,,,,0.9977668523788452,1.4305e-06
11,node,pu_xmsat_global_unobserved_pairs,237,2540,0.9977682828903198,compound:965,compound,965,,,,0.9977680444717407,2.384e-07
11,node,pu_xmsat_global_unobserved_pairs,237,2540,0.9977682828903198,target:14492,target,14492,,,,0.9977684020996094,-1.192e-07
