row_type,case_index,contribution_group,source,herb_id,adr_id,feature,display_name,name_source,node_type,node_id,path_features,path_display_features,path_text,score_drop,masked_score,drop_class,case_count,occurrence_count,mean_score_drop,max_score_drop,positive_drop_count,near_zero_drop_count,negative_drop_count
aggregate,,pathway,,,,path:5,,,,,compound:1243;target:19336,Compound #1243;Target #19336,,,,,1,1,2.384e-07,2.384e-07,0,1,0
aggregate,,pathway,,,,path:6,,,,,compound:278;target:20366,Compound #278;Target #20366,,,,,1,1,2.384e-07,2.384e-07,0,1,0
aggregate,,pathway,,,,path:1,,,,,compound:965;target:14492,Compound #965;Target #14492,,,,,1,1,1.192e-07,1.192e-07,0,1,0
aggregate,,pathway,,,,path:2,,,,,compound:965;target:6814,Compound #965;Target #6814,,,,,1,1,1.192e-07,1.192e-07,0,1,0
aggregate,,pathway,,,,path:2,,,,,target:10658,Target #10658,,,,,1,1,1.192e-07,1.192e-07,0,1,0
aggregate,,pathway,,,,path:2,,,,,compound:610;target:1774,Compound #610;Target #1774,,,,,1,1,0.0,0.0,0,1,0
aggregate,,pathway,,,,path:1,,,,,target:19817,Target #19817,,,,,1,1,0.0,0.0,0,1,0
aggregate,,pathway,,,,path:3,,,,,target:5663,Target #5663,,,,,1,1,0.0,0.0,0,1,0
aggregate,,pathway,,,,path:3,,,,,target:7684,Target #7684,,,,,1,1,0.0,0.0,0,1,0
aggregate,,pathway,,,,path:5,,,,,compound:1019;target:18046,Compound #1019;Target #18046,,,,,1,1,-1.192e-07,-1.192e-07,0,1,0
aggregate,,pathway,,,,path:4,,,,,compound:1019;target:7213,Compound #1019;Target #7213,,,,,1,1,-1.192e-07,-1.192e-07,0,1,0
aggregate,,pathway,,,,path:6,,,,,compound:278;target:4,Compound #278;Target #4,,,,,1,1,-2.384e-07,-2.384e-07,0,1,0
aggregate,,pathway,,,,path:2,,,,,target:2606,Target #2606,,,,,1,1,-3.576e-07,-3.576e-07,0,1,0
aggregate,,pathway,,,,path:6,,,,,compound:1023;target:6478,Compound #1023;Target #6478,,,,,1,1,-1.4305e-06,-1.4305e-06,0,1,0
aggregate,,pathway,,,,path:3,,,,,compound:613;target:17098,Compound #613;Target #17098,,,,,1,1,-2.1458e-06,-2.1458e-06,0,1,0
aggregate,,pathway,,,,path:7,,,,,compound:1329;target:19496,Compound #1329;Target #19496,,,,,1,1,-5.1856e-06,-5.1856e-06,0,1,0
aggregate,,pathway,,,,path:5,,,,,compound:1243;target:19496,Compound #1243;Target #19496,,,,,1,1,-5.3048e-06,-5.3048e-06,0,1,0
aggregate,,pathway,,,,path:4,,,,,compound:1023;target:7260,Compound #1023;Target #7260,,,,,1,1,-6.4373e-06,-6.4373e-06,0,1,0
aggregate,,pathway,,,,path:6,,,,,compound:1243;target:12639,Compound #1243;Target #12639,,,,,1,1,-1.18613e-05,-1.18613e-05,0,1,0
aggregate,,pathway,,,,path:8,,,,,compound:443;target:7213,Compound #443;Target #7213,,,,,1,1,-3.01003e-05,-3.01003e-05,0,1,0
aggregate,,pathway,,,,path:7,,,,,compound:443;target:15692,Compound #443;Target #15692,,,,,1,1,-3.16501e-05,-3.16501e-05,0,1,0
aggregate,,pathway,,,,path:8,,,,,compound:443;target:2197,Compound #443;Target #2197,,,,,1,1,-3.33786e-05,-3.33786e-05,0,1,0
aggregate,,pathway,,,,path:7,,,,,compound:443;target:4,Compound #443;Target #4,,,,,1,1,-3.38554e-05,-3.38554e-05,0,1,0
aggregate,,pathway,,,,path:8,,,,,compound:443;target:9481,Compound #443;Target #9481,,,,,1,1,-4.29749e-05,-4.29749e-05,0,1,0
aggregate,,pathway,,,,path:7,,,,,compound:443;target:19336,Compound #443;Target #19336,,,,,1,1,-4.30942e-05,-4.30942e-05,0,1,0
aggregate,,pathway,,,,path:8,,,,,compound:443;target:19496,Compound #443;Target #19496,,,,,1,1,-4.58956e-05,-4.58956e-05,0,1,0
