aggregate_type,feature,display_name,name_source,node_type,node_id,path_features,path_display_features,case_count,occurrence_count,mean_score_drop,max_score_drop,positive_drop_count,near_zero_drop_count,negative_drop_count
node,target:6478,Target #6478,unmapped_graph_id,target,6478,,,1,1,1.4305e-06,1.4305e-06,0,1,0
node,target:590,Target #590,unmapped_graph_id,target,590,,,1,1,1.3113e-06,1.3113e-06,0,1,0
node,target:7938,Target #7938,unmapped_graph_id,target,7938,,,1,1,1.3113e-06,1.3113e-06,0,1,0
node,target:9481,Target #9481,unmapped_graph_id,target,9481,,,1,1,1.1921e-06,1.1921e-06,0,1,0
node,target:12639,Target #12639,unmapped_graph_id,target,12639,,,1,1,8.345e-07,8.345e-07,0,1,0
node,target:20703,Target #20703,unmapped_graph_id,target,20703,,,1,1,8.345e-07,8.345e-07,0,1,0
node,target:5720,Target #5720,unmapped_graph_id,target,5720,,,1,1,5.96e-07,5.96e-07,0,1,0
node,target:19336,Target #19336,unmapped_graph_id,target,19336,,,5,5,5.841e-07,1.1921e-06,0,5,0
node,target:13438,Target #13438,unmapped_graph_id,target,13438,,,2,2,4.769e-07,1.1921e-06,0,2,0
node,compound:132,Compound #132,unmapped_graph_id,compound,132,,,1,1,4.768e-07,4.768e-07,0,1,0
node,compound:1257,Compound #1257,unmapped_graph_id,compound,1257,,,2,2,3.576e-07,3.576e-07,0,2,0
node,target:20366,Target #20366,unmapped_graph_id,target,20366,,,1,1,3.576e-07,3.576e-07,0,1,0
node,target:974,Target #974,unmapped_graph_id,target,974,,,1,1,3.576e-07,3.576e-07,0,1,0
node,target:2197,Target #2197,unmapped_graph_id,target,2197,,,1,1,2.384e-07,2.384e-07,0,1,0
node,compound:965,Compound #965,unmapped_graph_id,compound,965,,,3,3,1.987e-07,2.384e-07,0,3,0
node,compound:435,Compound #435,unmapped_graph_id,compound,435,,,3,3,1.589e-07,2.384e-07,0,3,0
node,target:10658,Target #10658,unmapped_graph_id,target,10658,,,1,1,1.192e-07,1.192e-07,0,1,0
node,target:17098,Target #17098,unmapped_graph_id,target,17098,,,1,1,1.192e-07,1.192e-07,0,1,0
node,target:18046,Target #18046,unmapped_graph_id,target,18046,,,1,1,0.0,0.0,0,1,0
node,target:19817,Target #19817,unmapped_graph_id,target,19817,,,1,1,0.0,0.0,0,1,0
node,target:5663,Target #5663,unmapped_graph_id,target,5663,,,1,1,0.0,0.0,0,1,0
node,target:7684,Target #7684,unmapped_graph_id,target,7684,,,1,1,0.0,0.0,0,1,0
node,target:9880,Target #9880,unmapped_graph_id,target,9880,,,1,1,0.0,0.0,0,1,0
node,compound:278,Compound #278,unmapped_graph_id,compound,278,,,2,2,-5.96e-08,0.0,0,2,0
node,compound:876,Compound #876,unmapped_graph_id,compound,876,,,3,3,-7.95e-08,0.0,0,3,0
node,target:7802,Target #7802,unmapped_graph_id,target,7802,,,2,2,-1.192e-07,2.384e-07,0,2,0
node,compound:1019,Compound #1019,unmapped_graph_id,compound,1019,,,1,1,-1.192e-07,-1.192e-07,0,1,0
node,target:14492,Target #14492,unmapped_graph_id,target,14492,,,1,1,-1.192e-07,-1.192e-07,0,1,0
node,target:4,Target #4,unmapped_graph_id,target,4,,,1,1,-1.192e-07,-1.192e-07,0,1,0
node,target:6814,Target #6814,unmapped_graph_id,target,6814,,,1,1,-1.192e-07,-1.192e-07,0,1,0
node,compound:610,Compound #610,unmapped_graph_id,compound,610,,,2,2,-2.384e-07,-2.384e-07,0,2,0
node,compound:699,Compound #699,unmapped_graph_id,compound,699,,,1,1,-2.384e-07,-2.384e-07,0,1,0
node,target:2606,Target #2606,unmapped_graph_id,target,2606,,,1,1,-3.576e-07,-3.576e-07,0,1,0
node,compound:613,Compound #613,unmapped_graph_id,compound,613,,,3,3,-2.8809e-06,-2.3842e-06,0,3,0
node,compound:1023,Compound #1023,unmapped_graph_id,compound,1023,,,5,5,-3.1948e-06,1.4305e-06,0,5,0
node,compound:1243,Compound #1243,unmapped_graph_id,compound,1243,,,3,3,-3.9737e-06,1.4305e-06,0,3,0
node,compound:1329,Compound #1329,unmapped_graph_id,compound,1329,,,1,1,-1.2517e-05,-1.2517e-05,0,1,0
node,compound:443,Compound #443,unmapped_graph_id,compound,443,,,4,4,-4.10676e-05,-3.34382e-05,0,4,0
